sentence,topic_predicted,label
Less unwanted children would be around.,abortion,against
the referendum is inconsistent with the UK's tradition of represtative democary EU members,a second referendum,support
the referendum is inconsistent with the UK's tradition of represtative democary EU members,a referendum,against
Terrorists must be put down because placing trust in untrustworthy people is a losing strategy.,using force to control people and,support
Terrorists must be put down because placing trust in untrustworthy people is a losing strategy.,trusting people,against
Banning weed will lead to other bans.,legalization,support
Banning weed will lead to other bans.,legalization,against
reform would not be agreed upon,unrest,support
reform would not be agreed upon,reform,against
The institution of marriage has been weakened in recent years and allowing gay marriage will only further damage an already crumbling institution.,traditional marriage,support
The institution of marriage has been weakened in recent years and allowing gay marriage will only further damage an already crumbling institution.,gay marriage,against
Publicity creates a public forum for terrorist organizations. ,terrorist organizations getting publicity,support
Publicity creates a public forum for terrorist organizations. ,publicizing terrorist organizations,against
"Most of the world opposes the embargo, and maintaining it is detrimental to the reputation of the United States among the international community. ",an embargo,support
"Most of the world opposes the embargo, and maintaining it is detrimental to the reputation of the United States among the international community. ",the embargo,against
the citizen should not take responsibility for government's choices of program,privatization,support
the citizen should not take responsibility for government's choices of program,social welfare programs,against
Marriage promotes a better way to raise children,marriage,support
Marriage promotes a better way to raise children,same-sex marriage,against
Banning 3D printers is a waste of a chance at pure innovation.,3D printers being used,support
Banning 3D printers is a waste of a chance at pure innovation.,banning 3D printers,against
The U.S. should ban Cluster Bombs because they have no place in this world.,banning Cluster Bombs,support
The U.S. should ban Cluster Bombs because they have no place in this world.,using Cluster Bombs,against
Abortion eliminates the potential societal contributions of a future human being.,abortion,support
Abortion eliminates the potential societal contributions of a future human being.,abortion,against
The EU needs a dedicated defence force,a European Defence Force,support
The EU needs a dedicated defence force,a common European defence force,against
Drones protect our military from enemies,having drones in the military,support
Drones protect our military from enemies,regulating drones,against
Cooperation is available along many lines between Russia and the United States.,cooperation,support
Cooperation is available along many lines between Russia and the United States.,isolationism,against
Legalization has benefits for society,legalization,support
Legalization has benefits for society,legalization,against
"Lowering federal taxes didn't prevent the cutting of jobs, only an increase in dividends  for the shareholders",cutting taxes for the wealthy,support
"Lowering federal taxes didn't prevent the cutting of jobs, only an increase in dividends  for the shareholders",cutting taxes,against
Consumers don't place as much trust in drugs that are cheaper.,government subsidising drugs that are,support
Consumers don't place as much trust in drugs that are cheaper.,reducing the price of drugs,against
Grey goods allow for more money to leave the country and harm the economy.,tariffs on grey goods,support
Grey goods allow for more money to leave the country and harm the economy.,importing goods made of natural materials,against
Freedom of speech,"free speech, right",support
Freedom of speech,any form of censorship,against
There is simply not enough space to deal with offenders,a 'two strike law',support
There is simply not enough space to deal with offenders,expanding the prison system,against
Raising the minimum wage would lead to a healthier population and prevent premature deaths.,a minimum wage,support
Raising the minimum wage would lead to a healthier population and prevent premature deaths.,a minimum wage,against
A gold standard would limit the ability of the Federal Reserve to help the economy out of recessions and depressions. ,a gold standard,support
A gold standard would limit the ability of the Federal Reserve to help the economy out of recessions and depressions. ,a gold standard,against
"The gold standard caused many financial panics, bank failures, and prolonged the Great Depression. ",a fiat currency,support
"The gold standard caused many financial panics, bank failures, and prolonged the Great Depression. ",a gold standard,against
It's not necessary to ban smoking.,smoking bans,support
It's not necessary to ban smoking.,a ban on smoking,against
High-level education officials support tablets over textbooks.,"having tablets in classrooms, instead",support
High-level education officials support tablets over textbooks.,teaching through textbooks,against
A world government would be ineffective in practice,private enterprise,support
A world government would be ineffective in practice,one,against
"When a housewife is paid, they have a better stand in society",paid housewives,support
"When a housewife is paid, they have a better stand in society",women being paid,against
PR creates an unfair balance of power.,regulation,support
PR creates an unfair balance of power.,PR,against
Livestock production threatens the world?? water supply,a vegetarian or vegan diet,support
Livestock production threatens the world?? water supply,raising livestock,against
Hydroelectric dams serve a second purpose by controlling floods and irrigation,dams as a way to manage,support
Hydroelectric dams serve a second purpose by controlling floods and irrigation,damming rivers,against
Islamic parties have led governments before,Islamic parties running governments,support
Islamic parties have led governments before,a secular democracy,against
Vaccines protect the children of tomorrow.,mandatory vaccinations,support
Vaccines protect the children of tomorrow.,not vaccinating children,against
Raising the minimum wage would help reduce the federal deficit.,raising the minimum wage,support
Raising the minimum wage would help reduce the federal deficit.,a minimum wage increase,against
"Western Money, Western Discretion",using Western money and Western discretion,support
"Western Money, Western Discretion",government intervention in the economy,against
Saddam Hussein is gone and Iraq is now functioning as one of very few democracies in the Middle East,overthrowing Saddam Hussein,support
Saddam Hussein is gone and Iraq is now functioning as one of very few democracies in the Middle East,military intervention,against
It can take pressure off doctors??resources ,a cap on the total number,support
It can take pressure off doctors??resources ,a cap on the number of,against
Uncertainty over the effects of cannabis means it is best to be prudent,prohibition,support
Uncertainty over the effects of cannabis means it is best to be prudent,legalisation,against
Religious events are a good place for people to celebrate various life milestones.,religiosity,support
Religious events are a good place for people to celebrate various life milestones.,making public holidays exclusively for religious,against
Young people should have the choice to decide for themselves,self-determination,support
Young people should have the choice to decide for themselves,mandatory schooling laws,against
Who cares if someone wears a veil?,wearing a veil,support
Who cares if someone wears a veil?,women wearing a veil,against
Adopting a single language would be counter-cultural.,multiculturalism,support
Adopting a single language would be counter-cultural.,adopting a single language,against
The individual pursuit of success is more important than a utopian ideal,meritocracy,support
The individual pursuit of success is more important than a utopian ideal,a socialist utopia,against
Religion does not embraces marriage bonds between same-sex couples.,gay marriage,support
Religion does not embraces marriage bonds between same-sex couples.,marriage being between two people of,against
"Any runway beyond the existing two would give rise to problems, including noise and pollution.",expanding the runway only to the,support
"Any runway beyond the existing two would give rise to problems, including noise and pollution.",extending the runway,against
Some people find immoral ingredients in vaccines.,pseudoscience,support
Some people find immoral ingredients in vaccines.,vaccinating children,against
The United States economy may not be able to handle a return to the gold standard. ,a fiat currency,support
The United States economy may not be able to handle a return to the gold standard. ,returning to the gold standard,against
limiting corporations can have a negative impact socially,corporate personhood,support
limiting corporations can have a negative impact socially,limiting the size of corporations,against
Advertising should not be allowed to seduce vulnerable children who do not understand what they want.,a ban on advertising to minors,support
Advertising should not be allowed to seduce vulnerable children who do not understand what they want.,advertising targeting children,against
Banning bottled water removes a healthy choice and leads to increased consumption of unhealthy sugary drinks.,banning bottled water,support
Banning bottled water removes a healthy choice and leads to increased consumption of unhealthy sugary drinks.,banning bottled water,against
"If I choose to go somewhere, I should be allowed to smoke there.",smoking in public places,support
"If I choose to go somewhere, I should be allowed to smoke there.",smoking bans,against
Failing a law degree can be extremely costly. ,a law degree,support
Failing a law degree can be extremely costly. ,repealing the law degree requirement,against
Drone operators often suffer from psychological and emotional strain.,regulating drone use,support
Drone operators often suffer from psychological and emotional strain.,using drones for surveillance and warfare,against
Taking away a smoker's rights to smoke in public is akin to the time of slavery!,people being able to smoke in,support
Taking away a smoker's rights to smoke in public is akin to the time of slavery!,smoker's rights being taken away,against
Vaccine-preventable diseases have not disappeared so vaccination is still necessary. ,vaccination,support
Vaccine-preventable diseases have not disappeared so vaccination is still necessary. ,vaccination,against
Banning 3D printers is a waste of time.,3D printing,support
Banning 3D printers is a waste of time.,banning 3D printers,against
Legalizing marriage by gays leads to the oppression of those who are against the practice.,legalizing discrimination,support
Legalizing marriage by gays leads to the oppression of those who are against the practice.,legalizing marriage for homosexuals,against
The feminist movement should not allow women to sell themselves,prostitution prohibition,support
The feminist movement should not allow women to sell themselves,women selling their bodies,against
"Cutting taxes, no bailouts, and selective deregulation to keep market forces alive and promote efficiency.",cutting taxes to stimulate the economy,support
"Cutting taxes, no bailouts, and selective deregulation to keep market forces alive and promote efficiency.",a government bailout,against
College football wants to be exposed,the playoff,support
College football wants to be exposed,a playoff,against
"States will monitor each other, and an international body could be set up",a UN-led monitoring body,support
"States will monitor each other, and an international body could be set up",a UN body,against
The Olympics gives athletes a goal and young people a chance to believe in themselves,the Olympics,support
The Olympics gives athletes a goal and young people a chance to believe in themselves,host cities bidding to host the,against
Video games are content that has a right to be censored for the mass majority's public safety.,censoring video games,support
Video games are content that has a right to be censored for the mass majority's public safety.,video games being censored,against
Parents can make sure children aren't wasting their time online. ,parents limiting children's internet usage,support
Parents can make sure children aren't wasting their time online. ,parents monitoring their children's online,against
Justice will be denied with this motion.,a motion to dismiss,support
Justice will be denied with this motion.,this motion,against
More gun control is unnecessary because relatively few people are killed by guns.,more gun control,support
More gun control is unnecessary because relatively few people are killed by guns.,gun control,against
"Everyone should have the resources to live a healthy, productive life.",universal healthcare,support
"Everyone should have the resources to live a healthy, productive life.",austerity,against
The present state structure does not work.,a new system,support
The present state structure does not work.,the present state structure,against
Illegal downloading should be regulated by the state.,state-enforced copyright laws,support
Illegal downloading should be regulated by the state.,copyright,against
"Corporations have only one goal, profit, human rights and environmental concerns be damned.",corporations having no human rights,support
"Corporations have only one goal, profit, human rights and environmental concerns be damned.",corporations,against
morsi was still popular,a political solution,support
morsi was still popular,a military coup,against
The muslim veil brings out the racism in people.  ,the veil,support
The muslim veil brings out the racism in people.  ,a veil,against
Legalizing prostitution would exacerbate the HIV problem.,prohibiting prostitution,support
Legalizing prostitution would exacerbate the HIV problem.,legalizing prostitution,against
It's not a real holiday.,boycotting,support
It's not a real holiday.,celebrating Christmas,against
Free speech applies to all speech.,free speech,support
Free speech applies to all speech.,censoring hate speech,against
Foetal rights threaten a woman's right to choose what is best for her own body.,abortion,support
Foetal rights threaten a woman's right to choose what is best for her own body.,foetal rights,against
"If every child had access to a mobile phone, our society would raise children who are more independent.",giving children mobile phones,support
"If every child had access to a mobile phone, our society would raise children who are more independent.",mobile phones being given to children,against
"Cutting aid to any African states that criminalize homosexuality, could make changes in their policy direction.",aid being cut to African countries,support
"Cutting aid to any African states that criminalize homosexuality, could make changes in their policy direction.",aid to countries that criminalize,against
Connecting welfare to failure of parents is unfair.,welfare as a form of assistance,support
Connecting welfare to failure of parents is unfair.,welfare being connected to parental failure,against
Other countries are even younger ??in America only 16!,eugenics,support
Other countries are even younger ??in America only 16!,overpopulation,against
Parents may choose to raise their children according to a specific religion but that does not require that society must follow,choice,support
Parents may choose to raise their children according to a specific religion but that does not require that society must follow,state-imposed religious education,against
Advertising reduces consumers self-esteem.,a ban on advertising,support
Advertising reduces consumers self-esteem.,advertising,against
GPs prescribing cheaper drugs would save the government and the NHS money,GPs prescribing cheaper drugs,support
GPs prescribing cheaper drugs would save the government and the NHS money,GPs prescribing cheaper drugs,against
Terrorists can?? be trusted ??better to crush them,a drone strike against an ISIS,support
Terrorists can?? be trusted ??better to crush them,democracy but supports the idea of,against
NATO development would profit eastern European and post Soviet states,NATO expansion,support
NATO development would profit eastern European and post Soviet states,NATO enlargement,against
FTAA can hinder industries in growing countries.,trade barriers,support
FTAA can hinder industries in growing countries.,the FTAA,against
Homework is beneficial because of parent/child involvement,homework,support
Homework is beneficial because of parent/child involvement,making homework mandatory,against
Many students do not have sufficient home internet bandwidth to use tablets.,providing free or discounted home internet,support
Many students do not have sufficient home internet bandwidth to use tablets.,providing free internet access to students,against
PR produces fairer results,PR,support
PR produces fairer results,PR,against
Producing one hamburger destroys 55 square feet of rainforest. ,eating less meat,support
Producing one hamburger destroys 55 square feet of rainforest. ,producing meat,against
Access to contraception results are unproven.,abortion,support
Access to contraception results are unproven.,contraception,against
There always was violence ,violence being a tool for solving,support
There always was violence ,non-violence,against
Proliferation of nuclear weapons increases the chances of nuclear accidents,a nuclear disarmament treaty,support
Proliferation of nuclear weapons increases the chances of nuclear accidents,proliferation of nuclear weapons,against
this would create a precedent for religious intollerance,discrimination against certain religions,support
this would create a precedent for religious intollerance,religious exemptions from health and safety,against
Children of housewives spend more time with a loving parent and benefit from that attention.,mothers spending more time with their,support
Children of housewives spend more time with a loving parent and benefit from that attention.,mothers working outside the home,against
Hydro electric dams contribute to the destruction of existing ecosystems .,large-scale environmental destruction in,support
Hydro electric dams contribute to the destruction of existing ecosystems .,using hydropower,against
The internet is an echo chamber that will confirm extremists in their views if not stopped,regulating it,support
The internet is an echo chamber that will confirm extremists in their views if not stopped,the internet being used as a,against
AA actually does more harm than it does good,harm reduction,support
AA actually does more harm than it does good,AA,against
Iron from meat is often cited as better than vegetables.,eating meat,support
Iron from meat is often cited as better than vegetables.,a vegetarian or vegan diet,against
Police body cameras are too expensive and are unreliable.,police using other forms of communication,support
Police body cameras are too expensive and are unreliable.,police body cameras,against
Allowing the motion would be wrong for justice.,keeping the motion blocked,support
Allowing the motion would be wrong for justice.,the motion,against
The referendum is good PR for the UK.,a referendum,support
The referendum is good PR for the UK.,a referendum,against
Facebook hurts people's ability to learn and retain new information.,'paired learning' where,support
Facebook hurts people's ability to learn and retain new information.,Facebook,against
It's a double edged sword using profiling.  It promotes more prejudice among those facing terrorism and vice versa.,profiling,support
It's a double edged sword using profiling.  It promotes more prejudice among those facing terrorism and vice versa.,using profiling to prevent terrorism,against
Animals are not percieved as part of the moral community when they are treated as property.,animal rights,support
Animals are not percieved as part of the moral community when they are treated as property.,using animals for experimentation,against
The anonymity of the internet allows people to create new social identities for themselves.,online anonymity,support
The anonymity of the internet allows people to create new social identities for themselves.,people using their real name on,against
repayment of reparations would be a step toward making things right,reparations,support
repayment of reparations would be a step toward making things right,reparations,against
Tax payers money could be spent more appropriately.,tax cuts,support
Tax payers money could be spent more appropriately.,Government spending on welfare programs,against
Reparations would correct the colonial imbalance ,reparations,support
Reparations would correct the colonial imbalance ,reparations,against
A part of university life is financial stress,a tuition-free university,support
A part of university life is financial stress,free tuition,against
Seperation of the Church and the State in England would have a negative impact on nationalist sentiment.,England being a secular state,support
Seperation of the Church and the State in England would have a negative impact on nationalist sentiment.,separation of the Church and State,against
Police Body Cameras ensure safer interactions between the Police and the public,using them,support
Police Body Cameras ensure safer interactions between the Police and the public,police body cameras being banned,against
"Police body cameras invade the privacy of citizens, expose victims and witnesses of crimes, and damage police-public relationships.",police body cameras being abolished,support
"Police body cameras invade the privacy of citizens, expose victims and witnesses of crimes, and damage police-public relationships.",police body cameras,against
Levels of European Parliament elections could be helped by allowing voting at age 16.,allowing voting at 16,support
Levels of European Parliament elections could be helped by allowing voting at age 16.,voting at age 16,against
Mayors will come at a cost,"""austerity""",support
Mayors will come at a cost,mayors,against
The Anti-terrorism legislation is not supportive of a democracy.,a dictatorship,support
The Anti-terrorism legislation is not supportive of a democracy.,democracy,against
"Keeping books with inappropriate content out of libraries protects kids, but doesn't stop people from reading those books or prevent authors from writing them.",libraries censoring books,support
"Keeping books with inappropriate content out of libraries protects kids, but doesn't stop people from reading those books or prevent authors from writing them.",restricting access to books that some,against
"Sexist advertising is harmful to society, especially women.",it being banned,support
"Sexist advertising is harmful to society, especially women.",sexist advertising,against
Music depicting violence against women discourages respect of women in men and women.,censorship,support
Music depicting violence against women discourages respect of women in men and women.,listening to music that portrays violence,against
"The rates of gun crime are less in the countries who restrict guns, versus the United States.",gun control,support
"The rates of gun crime are less in the countries who restrict guns, versus the United States.",gun control,against
"Corporations have record amounts of money, so complaints about high federal corporate income tax rates causing high unemployment are not valid.",lowering the corporate income tax rate,support
"Corporations have record amounts of money, so complaints about high federal corporate income tax rates causing high unemployment are not valid.",increasing the federal corporate income tax,against
Reparations mean concern for the world that is developing ,reparations in theory,support
Reparations mean concern for the world that is developing ,reparations,against
Social media can help disarm social stigmas.,social media being used to disarm,support
Social media can help disarm social stigmas.,social media censorship,against
The ICC's bias against Africa is overt.,creating an African Court of Human,support
The ICC's bias against Africa is overt.,the ICC,against
"Public safety should be left to professionally qualified police officers, not private citizens with little or no expert training.",privatising the police,support
"Public safety should be left to professionally qualified police officers, not private citizens with little or no expert training.",having a professional police force,against
One reason to legalize marijuana is that the action leads to a decrease in criminal activity.,legalizing marijuana,support
One reason to legalize marijuana is that the action leads to a decrease in criminal activity.,legalizing marijuana,against
"Social media can bring harm to groups such as the military, journalists and activists.",censoring social media,support
"Social media can bring harm to groups such as the military, journalists and activists.",social media,against
Cell Phone Use is not necessary in vehicles.,banning cell phone use in vehicles,support
Cell Phone Use is not necessary in vehicles.,cell phone use in vehicles,against
It's utility is doubtful.,not using it,support
It's utility is doubtful.,the proposed law,against
Women can't be the future for Africa's economy.,male domination in Africa,support
Women can't be the future for Africa's economy.,women having an equal place in,against
"There is no such thing as intellectual property, since you cannot own an idea:",free speech and open access to,support
"There is no such thing as intellectual property, since you cannot own an idea:",intellectual property,against
There must be access to meats in order to alleviate world hunger. ,meat production,support
There must be access to meats in order to alleviate world hunger. ,a vegetarian lifestyle,against
Citizens have the right to know about the health condition of their head of state.,allowing public access to the medical,support
Citizens have the right to know about the health condition of their head of state.,a state secret,against
Ensuring net neutrality represents excessive government regulation and control over business.,net neutrality being repealed,support
Ensuring net neutrality represents excessive government regulation and control over business.,net neutrality,against
Leadership and privilege are not divine rights.,social justice,support
Leadership and privilege are not divine rights.,a divine right of kings,against
Terminally ill patients would be getting false hope,euthanasia,support
Terminally ill patients would be getting false hope,assisted dying,against
Reservation is having a fair competition that man students have to suffer.,reservation,support
Reservation is having a fair competition that man students have to suffer.,reservation,against
Corporal punishment isn't a good idea when solving social problems.,using punishment to solve social problems,support
Corporal punishment isn't a good idea when solving social problems.,using corporal punishment to solve,against
Universal benefits of human rights,human rights,support
Universal benefits of human rights,human rights,against
There is no divine right to leadership or privilege,equality,support
There is no divine right to leadership or privilege,a divine right to rulership,against
Showing Africa can solve its own problems,African countries breaking away from the,support
Showing Africa can solve its own problems,foreign aid,against
It's a financial loss to the state enforcing the death penalty.,abolition,support
It's a financial loss to the state enforcing the death penalty.,the death penalty,against
The economy become unhealthy when money leaves and grey goods enter the country.,a trade deficit to increase the,support
The economy become unhealthy when money leaves and grey goods enter the country.,free trade,against
The risk of heart disease is reduced in people who adhere to a vegetarian diet.,a vegetarian diet,support
The risk of heart disease is reduced in people who adhere to a vegetarian diet.,eating meat,against
Newspapers report sensationalist stories beacuse they sell.,sensationalism,support
Newspapers report sensationalist stories beacuse they sell.,newspapers reporting sensationalist stories,against
"Wind energy has a stable price in the long-term, it will be with us for the long haul",wind power,support
"Wind energy has a stable price in the long-term, it will be with us for the long haul",introducing a price for carbon,against
The UN charter is against it.,a world government,support
The UN charter is against it.,human rights,against
The dam is predicted to provide energy for all of Ethiopia ,the dam,support
The dam is predicted to provide energy for all of Ethiopia ,its removal,against
Modern technology makes consultation easier than ever.,using technology for consultation,support
Modern technology makes consultation easier than ever.,remote consults,against
Forced evictions are a common path used towards forming Eco-Cities.,forced evictions,support
Forced evictions are a common path used towards forming Eco-Cities.,forced evictions,against
Jail time would damage a childhood.,a juvenile justice system,support
Jail time would damage a childhood.,jail time,against
"If textbooks are replaced with tablets, students will come up with more excuses for not doing their schoolwork.",textbooks being replaced with tablets,support
"If textbooks are replaced with tablets, students will come up with more excuses for not doing their schoolwork.",textbooks being replaced by tablets,against
Compulsory studying would be taking young people out of the workforce,young people being able to choose,support
Compulsory studying would be taking young people out of the workforce,compulsory studying,against
Giving Africa a voice would improve priority,the organisation,support
Giving Africa a voice would improve priority,Africa having a voice,against
A right to health care could lower the quality and availability of disease screening and treatment. ,a right to health care,support
A right to health care could lower the quality and availability of disease screening and treatment. ,health care being a right,against
There really is no international law allowing for the right of return .,a Palestinian right of return,support
There really is no international law allowing for the right of return .,a right of return,against
Internment without trial undermines all of the democratic values we so like to mention. ,internment without trial,support
Internment without trial undermines all of the democratic values we so like to mention. ,internment without trial,against
UK Universities should give priority to students from the UK. ,excluding international students from some universities,support
UK Universities should give priority to students from the UK. ,UK universities prioritising international students,against
It is self absorbed.,self absorption,support
It is self absorbed.,self absorption,against
the Olympics in London are expensive,holding them in a different city,support
the Olympics in London are expensive,holding them in London,against
Excessive meat production threatens the world?? biodiversity,a vegetarian or vegan lifestyle,support
Excessive meat production threatens the world?? biodiversity,meat production,against
There is little interest in unification among young people in South Korea,creating a new country,support
There is little interest in unification among young people in South Korea,unification,against
Labour would be foolish to move to the left.,centrism,support
Labour would be foolish to move to the left.,Labour moving to the left,against
e-books use up far less storage space,e-books,support
e-books use up far less storage space,making them available to the public,against
Net neutrality makes the internet less enjoyable.,deregulation of the internet,support
Net neutrality makes the internet less enjoyable.,net neutrality,against
Scientology has a hideous record of harrrassing critics.,persecuted speech,support
Scientology has a hideous record of harrrassing critics.,Scientology,against
The right to internet access fills a gap in traditional human rights.,net neutrality,support
The right to internet access fills a gap in traditional human rights.,net neutrality,against
"If they went left, it would be a step back and not a step forward",continuing to go right,support
"If they went left, it would be a step back and not a step forward",moving to the left,against
Free movement of labor across Africa will alleviate poverty and create unity. ,free movement of labor,support
Free movement of labor across Africa will alleviate poverty and create unity. ,closed borders,against
Social media facilitates cyberbullying.,censoring social media platforms such,support
Social media facilitates cyberbullying.,social media,against
The university is unable to be sustainable and fund other profitable pursuits because of this problem.,privatization,support
The university is unable to be sustainable and fund other profitable pursuits because of this problem.,the university being sustainable,against
Unrealistically costly,using the internet for distance learning,support
Unrealistically costly,the project,against
Evidence needs to be more reliable than intercept evidence if it is to used in court.,using evidence from other sources,support
Evidence needs to be more reliable than intercept evidence if it is to used in court.,using intercept evidence in court,against
"Homework provides a link between child, school and the home",homework,support
"Homework provides a link between child, school and the home",homework,against
Intellectual property rights incentivize investment of time and money in developing new products,IP rights,support
Intellectual property rights incentivize investment of time and money in developing new products,abolishing intellectual property rights,against
people who may not have many friends can use social media to get more,using social media to make friends,support
people who may not have many friends can use social media to get more,social media being used to avoid,against
Children that perform are often pushed to grow up too soon.,children growing up too soon,support
Children that perform are often pushed to grow up too soon.,early compulsory education,against
Books are more durable than computers.,digital books,support
Books are more durable than computers.,digitization,against
All the people worldwide have the same rights and are equal to one another. ,human rights,support
All the people worldwide have the same rights and are equal to one another. ,inequality or discrimination,against
The state should not be in the business of promoting religion not should pledges of allegiance include religious dogma. ,state neutrality with regards to religion,support
The state should not be in the business of promoting religion not should pledges of allegiance include religious dogma. ,the state promoting religion,against
True democracy cannot exist in an individualistic culture,socialism,support
True democracy cannot exist in an individualistic culture,democracy,against
It could be a solution for the current health care crisis,universal health care,support
It could be a solution for the current health care crisis,universal healthcare,against
There will be less nuclear weapons,nuclear disarmament,support
There will be less nuclear weapons,nuclear proliferation,against
Accountability,holding people accountable for their actions,support
Accountability,anyone being unaccountable,against
International Covenant on Civil and Political Rights violated,human rights,support
International Covenant on Civil and Political Rights violated,the Covenant,against
Medical concerns,medical marijuana,support
Medical concerns,mandatory vaccinations,against
Banning loss leaders would help suppliers,banning loss leaders,support
Banning loss leaders would help suppliers,banning loss leaders,against
The current minimum wage is not high enough to allow people to afford everyday essentials.,a higher minimum wage,support
The current minimum wage is not high enough to allow people to afford everyday essentials.,raising the minimum wage,against
"If the US does not act on Iran, Israel will",military action against Iran,support
"If the US does not act on Iran, Israel will",diplomacy with Iran,against
Foetal rights imposes a threat on the autonomy of women ,abortion being illegal,support
Foetal rights imposes a threat on the autonomy of women ,foetal rights,against
The interests of humans are protected when endangered species are protected.,endangered species being protected,support
The interests of humans are protected when endangered species are protected.,hunting endangered species,against
Lack of Ethnic Diversity,creating a 'white ethnost,support
Lack of Ethnic Diversity,diversity,against
Can we understand concepts we don't have words for?,using metaphor to understand concepts that,support
Can we understand concepts we don't have words for?,trying to create new words for,against
"To improve National Security, the US should engage more often in Foreign Aid.",increasing the amount of foreign aid,support
"To improve National Security, the US should engage more often in Foreign Aid.",foreign aid,against
Russians need strong leadership.,a strong leader,support
Russians need strong leadership.,democracy,against
Most parents and educators support mandatory school uniforms.,mandatory school uniforms,support
Most parents and educators support mandatory school uniforms.,mandatory school uniforms,against
Other countries have had second referendums ,a second referendum,support
Other countries have had second referendums ,a Scottish referendum,against
Tenns are not good at making choices,libertarianism,support
Tenns are not good at making choices,choice,against
A balanced and healthy diet consists of vegetables and lean red meat. ,healthy eating,support
A balanced and healthy diet consists of vegetables and lean red meat. ,vegetarianism,against
Because people are losing lives and our climate is changing,man-made global warming,support
Because people are losing lives and our climate is changing,CO2 emissions,against
Working as a performer can make a child vulnerable.,child performers getting paid,support
Working as a performer can make a child vulnerable.,performers working with children,against
Businesses bear the responsibility of self-policing themselves regarding sexist advertising.,businesses self-policing,support
Businesses bear the responsibility of self-policing themselves regarding sexist advertising.,mandatory regulation of sexist advertising,against
New businesses may increase with a right to healthcare.,healthcare being a right,support
New businesses may increase with a right to healthcare.,repealing healthcare,against
Women are the backbone of Africa?? agriculture,women working in agriculture to help,support
Women are the backbone of Africa?? agriculture,women working in agriculture,against
Hydroelectric dams increase methane emissions,building new dams,support
Hydroelectric dams increase methane emissions,hydroelectric dams,against
Ethnic borders return societies to their logical segments and undoes the inequity that was artificially created.  ,ethno-nationalism,support
Ethnic borders return societies to their logical segments and undoes the inequity that was artificially created.  ,nation-states,against
Legalized prostitution would protect sex workers from abuse and educate them about STDs.,legalizing prostitution,support
Legalized prostitution would protect sex workers from abuse and educate them about STDs.,legalized prostitution,against
??ystemic aid??is detrimental to African society ,isolationism,support
??ystemic aid??is detrimental to African society ,giving money to African countries,against
It does not make sense for South Africa to get involved with a poor country,South Africa withdrawing its troops from,support
It does not make sense for South Africa to get involved with a poor country,aid from South Africa,against
Drone strikes are legal under international law. ,drone strikes,support
Drone strikes are legal under international law. ,a moratorium on drone strikes,against
"It is possible for a tablet to hold hundreds of textbooks on one device itself, which includes homework, quizzes, files of other nature and helps to remove the need to physically store classroom materials and books.",electronic textbooks,support
"It is possible for a tablet to hold hundreds of textbooks on one device itself, which includes homework, quizzes, files of other nature and helps to remove the need to physically store classroom materials and books.",schools purchasing textbooks,against
Being able to use the internet the Holocaust deniers can legitimize their organization and message in the eyes of consumers.,the Holocaust deniers being able,support
Being able to use the internet the Holocaust deniers can legitimize their organization and message in the eyes of consumers.,the internet being used to spread,against
The United States relies heavily on PMCs and would to be able to successfully carry out its foreign missions without them.,PMCs,support
The United States relies heavily on PMCs and would to be able to successfully carry out its foreign missions without them.,PMCs,against
Homework puts students off learning,abolishing homework,support
Homework puts students off learning,homework,against
Books are a portal to different life experiences and reading encourages empathy and social-emotional development,reading aloud to children,support
Books are a portal to different life experiences and reading encourages empathy and social-emotional development,book banning,against
all representation should be balanced,proportional representation,support
all representation should be balanced,'blank slate',against
An AU force will be inexperienced,using UNSC troops,support
An AU force will be inexperienced,an AU force,against
Pornography makes violence look sexy.,censorship by making this statement,support
Pornography makes violence look sexy.,pornography,against
The one child policy is needed for population control,limiting the number of children that,support
The one child policy is needed for population control,allowing more babies to be born,against
people cannot live off of their income,a welfare state,support
people cannot live off of their income,a welfare state,against
even left side leaders have accepted capitalism pirnciples and have given up on socialism as a creed,capitalism,support
even left side leaders have accepted capitalism pirnciples and have given up on socialism as a creed,socialism,against
The opening up of information to the public encourages further research and development,open access to scientific data,support
The opening up of information to the public encourages further research and development,government information secrecy,against
Lack of space for inmates is the reason for new prison construction.,more prisons,support
Lack of space for inmates is the reason for new prison construction.,building new prisons,against
"Both socialism and communism have their roots in the idea of utopianism; all are unrealistic, unachievable and deny the nature and dignity of the individual. ",capitalism,support
"Both socialism and communism have their roots in the idea of utopianism; all are unrealistic, unachievable and deny the nature and dignity of the individual. ",socialism and communism,against
Cell Phones are worse than other distractions,banning them in schools,support
Cell Phones are worse than other distractions,using cell phones in class,against
change the governments with ballots and not violence,democracy,support
change the governments with ballots and not violence,violent revolution,against
Bans On Junk Food Have Been Successful,food bans,support
Bans On Junk Food Have Been Successful,a ban,against
Reparations unfairly target the taxpayers of former colonial powers who had nothing to do with the deeds committed under colonisation.,reparations being paid to descendants,support
